data_path,kendall_tau,topk_ordering,total_samples_before,total_samples_after,separability(1 - N3),Accuracy,Precision,F1,Recall,ROC_AUC,PR_AUC,MCC,BalancedAcc,topk_features_overlap
./evaluation/wilt/datasets/K-IPO/1.csv,1.0,5,4839,6408,0.9947,0.9918,0.9832,0.9906,0.9982,0.9986,0.9975,0.9835,0.9926,0.6508
./evaluation/wilt/datasets/K-IPO/2.csv,1.0,5,4839,6408,0.9953,0.9902,0.9822,0.9887,0.9954,0.9988,0.9983,0.9802,0.9909,0.6508
./evaluation/wilt/datasets/K-IPO/3.csv,1.0,5,4839,6408,0.9953,0.9902,0.983,0.9887,0.9945,0.9984,0.9973,0.9802,0.9908,0.6508
./evaluation/wilt/datasets/K-IPO/4.csv,1.0,5,4839,6408,0.9953,0.9902,0.983,0.9887,0.9945,0.9984,0.9973,0.9802,0.9908,0.6508
./evaluation/wilt/datasets/K-IPO/5.csv,1.0,5,4839,6408,0.9953,0.9902,0.983,0.9887,0.9945,0.9984,0.9973,0.9802,0.9908,0.6508
./evaluation/wilt/datasets/K-IPO/6.csv,1.0,5,4839,6408,0.9947,0.9918,0.9831,0.9906,0.9982,0.9989,0.9983,0.9835,0.9926,0.6508
./evaluation/wilt/datasets/K-IPO/7.csv,1.0,5,4839,6408,0.9947,0.9918,0.9831,0.9906,0.9982,0.9989,0.9983,0.9835,0.9926,0.6508
./evaluation/wilt/datasets/K-IPO/8.csv,1.0,5,4839,6408,0.9947,0.993,0.9857,0.9919,0.9982,0.999,0.9985,0.9858,0.9936,0.6508
./evaluation/wilt/datasets/K-IPO/9.csv,1.0,5,4839,6408,0.9947,0.9918,0.9831,0.9906,0.9982,0.9988,0.9983,0.9835,0.9926,0.6508
./evaluation/wilt/datasets/K-IPO/10.csv,1.0,5,4839,6408,0.9953,0.9902,0.983,0.9887,0.9945,0.9984,0.9973,0.9802,0.9908,0.6508
